form	wsafter	testid	anas	lemma	xpostag
három	" "	.	[{"lemma": "három", "tag": "[/Num][Nom]", "morphana": "három[/Num]=három+[Nom]=", "readable": "három[/Num] + [Nom]", "twolevel": "h:h á:á r:r o:o m:m :[/Num] :[Nom]"}]	három	[/Num][Nom]
elkésett	" "	.	[{"lemma": "elkésik", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "el[/Prev]=el+késik[/V]=kés+ett[Pst.NDef.3Sg]=ett", "readable": "el[/Prev] + késik[/V]=kés + ett[Pst.NDef.3Sg]", "twolevel": "e:e l:l :[/Prev] k:k é:é s:s :i :k :[/V] e:e t:t t:t :[Pst.NDef.3Sg]"}, {"lemma": "elkésett", "tag": "[/Adj][Nom]", "morphana": "el[/Prev]=el+késik[/V]=kés+ett[_PerfPtcp/Adj]=ett+[Nom]=", "readable": "el[/Prev] + késik[/V]=kés + ett[_PerfPtcp/Adj] + [Nom]", "twolevel": "e:e l:l :[/Prev] k:k é:é s:s :i :k :[/V] e:e t:t t:t :[_PerfPtcp/Adj] :[Nom]"}]	elkésik	[/V][Pst.NDef.3Sg]
látogató	" "	.	[{"lemma": "látogató", "tag": "[/Adj][Nom]", "morphana": "lát[/V]=lát+ogat[_Freq/V]=ogat+ó[_ImpfPtcp/Adj]=ó+[Nom]=", "readable": "lát[/V] + ogat[_Freq/V] + ó[_ImpfPtcp/Adj] + [Nom]", "twolevel": "l:l á:á t:t :[/V] o:o g:g a:a t:t :[_Freq/V] ó:ó :[_ImpfPtcp/Adj] :[Nom]"}, {"lemma": "látogató", "tag": "[/Adj][Nom]", "morphana": "látogat[/V]=látogat+ó[_ImpfPtcp/Adj]=ó+[Nom]=", "readable": "látogat[/V] + ó[_ImpfPtcp/Adj] + [Nom]", "twolevel": "l:l á:á t:t o:o g:g a:a t:t :[/V] ó:ó :[_ImpfPtcp/Adj] :[Nom]"}, {"lemma": "látogató", "tag": "[/N][Nom]", "morphana": "látogató[/N]=látogató+[Nom]=", "readable": "látogató[/N] + [Nom]", "twolevel": "l:l á:á t:t o:o g:g a:a t:t ó:ó :[/N] :[Nom]"}]	látogató	[/N][Nom]
csavarta	" "	.	[{"lemma": "csavarta", "tag": "[/N][Poss.3Sg][Nom]", "morphana": "csavar[/V]=csavar+ta[_Ger:tA/N]=t+a[Poss.3Sg]=a+[Nom]=", "readable": "csavar[/V] + ta[_Ger:tA/N]=t + a[Poss.3Sg] + [Nom]", "twolevel": "c:c s:s a:a v:v a:a r:r :[/V] t:t :a :[_Ger:tA/N] a:a :[Poss.3Sg] :[Nom]"}, {"lemma": "csavar", "tag": "[/V][Pst.Def.3Sg]", "morphana": "csavar[/V]=csavar+ta[Pst.Def.3Sg]=ta", "readable": "csavar[/V] + ta[Pst.Def.3Sg]", "twolevel": "c:c s:s a:a v:v a:a r:r :[/V] t:t a:a :[Pst.Def.3Sg]"}, {"lemma": "csavarta", "tag": "[/Adj][Nom]", "morphana": "csavar[/V]=csavar+ta[_PerfPtcp_Subj=tA/Adj]=ta+[Nom]=", "readable": "csavar[/V] + ta[_PerfPtcp_Subj=tA/Adj] + [Nom]", "twolevel": "c:c s:s a:a v:v a:a r:r :[/V] t:t a:a :[_PerfPtcp_Subj=tA/Adj] :[Nom]"}]	csavar	[/V][Pst.Def.3Sg]
ki	" "	.	[{"lemma": "aki", "tag": "[/N|Pro|Rel][Nom]", "morphana": "aki[/N|Pro|Rel]=ki+[Nom]=", "readable": "aki[/N|Pro|Rel]=ki + [Nom]", "twolevel": "k:a i:k :i :[/N|Pro|Rel] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro][Nom]", "morphana": "ki[/N|Pro]=ki+[Nom]=", "readable": "ki[/N|Pro] + [Nom]", "twolevel": "k:k i:i :[/N|Pro] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro|Int][Nom]", "morphana": "ki[/N|Pro|Int]=ki+[Nom]=", "readable": "ki[/N|Pro|Int] + [Nom]", "twolevel": "k:k i:i :[/N|Pro|Int] :[Nom]"}, {"lemma": "ki", "tag": "[/Prev]", "morphana": "ki[/Prev]=ki", "readable": "ki[/Prev]", "twolevel": "k:k i:i :[/Prev]"}]	ki	[/Prev]
vizes	" "	.	[{"lemma": "vizes", "tag": "[/Adj][Nom]", "morphana": "vizes[/Adj]=vizes+[Nom]=", "readable": "vizes[/Adj] + [Nom]", "twolevel": "v:v i:i z:z e:e s:s :[/Adj] :[Nom]"}, {"lemma": "vizes", "tag": "[/Adj][Nom]", "morphana": "víz[/N]=viz+es[_Adjz:s/Adj]=es+[Nom]=", "readable": "víz[/N]=viz + es[_Adjz:s/Adj] + [Nom]", "twolevel": "v:v i:í z:z :[/N] e:e s:s :[_Adjz:s/Adj] :[Nom]"}, {"lemma": "vizes", "tag": "[/N][Nom]", "morphana": "víz[/N]=viz+es[_Nz:s/N]=es+[Nom]=", "readable": "víz[/N]=viz + es[_Nz:s/N] + [Nom]", "twolevel": "v:v i:í z:z :[/N] e:e s:s :[_Nz:s/N] :[Nom]"}]	vizes	[/Adj][Nom]
fürdőruháját	""	.	[{"lemma": "fürdőruha", "tag": "[/N][Poss.3Sg][Acc]", "morphana": "fürdik[/V]=fürd+ő[_ImpfPtcp/Adj]=ő+ruha[/N]=ruhá+ja[Poss.3Sg]=já+t[Acc]=t", "readable": "fürdik[/V]=fürd + ő[_ImpfPtcp/Adj] + ruha[/N]=ruhá + ja[Poss.3Sg]=já + t[Acc]", "twolevel": "f:f ü:ü r:r d:d :i :k :[/V] ő:ő :[_ImpfPtcp/Adj] r:r u:u h:h á:a :[/N] j:j á:a :[Poss.3Sg] t:t :[Acc]"}, {"lemma": "fürdőruha", "tag": "[/N][Poss.3Sg][Acc]", "morphana": "fürdő[/N]=fürdő+ruha[/N]=ruhá+ja[Poss.3Sg]=já+t[Acc]=t", "readable": "fürdő[/N] + ruha[/N]=ruhá + ja[Poss.3Sg]=já + t[Acc]", "twolevel": "f:f ü:ü r:r d:d ő:ő :[/N] r:r u:u h:h á:a :[/N] j:j á:a :[Poss.3Sg] t:t :[Acc]"}, {"lemma": "fürdőruha", "tag": "[/N][Poss.3Sg][Acc]", "morphana": "fürdőruha[/N]=fürdőruhá+ja[Poss.3Sg]=já+t[Acc]=t", "readable": "fürdőruha[/N]=fürdőruhá + ja[Poss.3Sg]=já + t[Acc]", "twolevel": "f:f ü:ü r:r d:d ő:ő r:r u:u h:h á:a :[/N] j:j á:a :[Poss.3Sg] t:t :[Acc]"}]	fürdőruha	[/N][Poss.3Sg][Acc]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
megállva	" "	.	[{"lemma": "megáll", "tag": "[/V][_AdvPtcp/Adv]", "morphana": "meg[/Prev]=meg+áll[/V]=áll+va[_AdvPtcp/Adv]=va", "readable": "meg[/Prev] + áll[/V] + va[_AdvPtcp/Adv]", "twolevel": "m:m e:e g:g :[/Prev] á:á l:l l:l :[/V] v:v a:a :[_AdvPtcp/Adv]"}]	megáll	[/V][_AdvPtcp/Adv]
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
medence	" "	.	[{"lemma": "medence", "tag": "[/N][Nom]", "morphana": "medence[/N]=medence+[Nom]=", "readable": "medence[/N] + [Nom]", "twolevel": "m:m e:e d:d e:e n:n c:c e:e :[/N] :[Nom]"}]	medence	[/N][Nom]
kőszegélyén	""	.	[{"lemma": "kőszegély", "tag": "[/N][Poss.3Sg][Supe]", "morphana": "kő[/N]=kő+szegély[/N]=szegély+e[Poss.3Sg]=é+n[Supe]=n", "readable": "kő[/N] + szegély[/N] + e[Poss.3Sg]=é + n[Supe]", "twolevel": "k:k ő:ő :[/N] s:s z:z e:e g:g é:é l:l y:y :[/N] é:e :[Poss.3Sg] n:n :[Supe]"}, {"lemma": "kőszegély", "tag": "[/N][AnP][Supe]", "morphana": "kő[/N]=kő+szegély[/N]=szegély+é[AnP]=é+n[Supe]=n", "readable": "kő[/N] + szegély[/N] + é[AnP] + n[Supe]", "twolevel": "k:k ő:ő :[/N] s:s z:z e:e g:g é:é l:l y:y :[/N] é:é :[AnP] n:n :[Supe]"}]	kőszegély	[/N][Poss.3Sg][Supe]
.	" "	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]

Mint	" "	.	[{"lemma": "amint", "tag": "[/Adv|Pro|Rel]", "morphana": "amint[/Adv|Pro|Rel]=mint", "readable": "amint[/Adv|Pro|Rel]=mint", "twolevel": "m:a i:m n:i t:n :t :[/Adv|Pro|Rel]"}, {"lemma": "mint", "tag": "[/Adv|Pro|Int]", "morphana": "mint[/Adv|Pro|Int]=mint", "readable": "mint[/Adv|Pro|Int]", "twolevel": "m:m i:i n:n t:t :[/Adv|Pro|Int]"}, {"lemma": "mint", "tag": "[/Cnj]", "morphana": "mint[/Cnj]=mint", "readable": "mint[/Cnj]", "twolevel": "m:m i:i n:n t:t :[/Cnj]"}, {"lemma": "mint", "tag": "[/Prep]", "morphana": "mint[/Prep]=mint", "readable": "mint[/Prep]", "twolevel": "m:m i:i n:n t:t :[/Prep]"}]	mint	[/Adv|Pro|Int]
később	" "	.	[{"lemma": "késő", "tag": "[/Adj][_Comp/Adj][Nom]", "morphana": "késik[/V]=kés+ő[_ImpfPtcp/Adj]=ő+bb[_Comp/Adj]=bb+[Nom]=", "readable": "késik[/V]=kés + ő[_ImpfPtcp/Adj] + bb[_Comp/Adj] + [Nom]", "twolevel": "k:k é:é s:s :i :k :[/V] ő:ő :[_ImpfPtcp/Adj] b:b b:b :[_Comp/Adj] :[Nom]"}, {"lemma": "késő", "tag": "[/Adj][_Comp/Adj][Nom]", "morphana": "késő[/Adj]=késő+bb[_Comp/Adj]=bb+[Nom]=", "readable": "késő[/Adj] + bb[_Comp/Adj] + [Nom]", "twolevel": "k:k é:é s:s ő:ő :[/Adj] b:b b:b :[_Comp/Adj] :[Nom]"}, {"lemma": "későn", "tag": "[/Adv][_Comp/Adv]", "morphana": "későn[/Adv]=késő+bb[_Comp/Adv]=bb", "readable": "későn[/Adv]=késő + bb[_Comp/Adv]", "twolevel": "k:k é:é s:s ő:ő :n :[/Adv] b:b b:b :[_Comp/Adv]"}, {"lemma": "később", "tag": "[/Adv]", "morphana": "később[/Adv]=később", "readable": "később[/Adv]", "twolevel": "k:k é:é s:s ő:ő b:b b:b :[/Adv]"}]	későn	[/Adv][_Comp/Adv]
állították	""	.	[{"lemma": "állította", "tag": "[/Adj][Pl][Nom]", "morphana": "állít[/V]=állít+otta[_PerfPtcp_Subj=tA/Adj]=ottá+k[Pl]=k+[Nom]=", "readable": "állít[/V] + otta[_PerfPtcp_Subj=tA/Adj]=ottá + k[Pl] + [Nom]", "twolevel": "á:á l:l l:l í:í t:t :[/V] o:o t:t t:t á:a :[_PerfPtcp_Subj=tA/Adj] k:k :[Pl] :[Nom]"}, {"lemma": "állít", "tag": "[/V][Pst.Def.3Pl]", "morphana": "állít[/V]=állít+ották[Pst.Def.3Pl]=ották", "readable": "állít[/V] + ották[Pst.Def.3Pl]", "twolevel": "á:á l:l l:l í:í t:t :[/V] o:o t:t t:t á:á k:k :[Pst.Def.3Pl]"}]	állít	[/V][Pst.Def.3Pl]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
nem	" "	.	[{"lemma": "nem", "tag": "[/Adv]", "morphana": "nem[/Adv]=nem", "readable": "nem[/Adv]", "twolevel": "n:n e:e m:m :[/Adv]"}, {"lemma": "nem", "tag": "[/Inj-Utt]", "morphana": "nem[/Inj-Utt]=nem", "readable": "nem[/Inj-Utt]", "twolevel": "n:n e:e m:m :[/Inj-Utt]"}, {"lemma": "nem", "tag": "[/N][Nom]", "morphana": "nem[/N]=nem+[Nom]=", "readable": "nem[/N] + [Nom]", "twolevel": "n:n e:e m:m :[/N] :[Nom]"}]	nem	[/Adv]
hittek	" "	.	[{"lemma": "hitt", "tag": "[/Adj][Pl][Nom]", "morphana": "hisz[/V]=hi+tt[_PerfPtcp/Adj]=tt+ek[Pl]=ek+[Nom]=", "readable": "hisz[/V]=hi + tt[_PerfPtcp/Adj] + ek[Pl] + [Nom]", "twolevel": "h:h i:i :s :z :[/V] t:t t:t :[_PerfPtcp/Adj] e:e k:k :[Pl] :[Nom]"}, {"lemma": "hisz", "tag": "[/V][Pst.NDef.3Pl]", "morphana": "hisz[/V]=hi+ttek[Pst.NDef.3Pl]=ttek", "readable": "hisz[/V]=hi + ttek[Pst.NDef.3Pl]", "twolevel": "h:h i:i :s :z :[/V] t:t t:t e:e k:k :[Pst.NDef.3Pl]"}]	hisz	[/V][Pst.NDef.3Pl]
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
saját	" "	.	[{"lemma": "saját", "tag": "[/Adj][Nom]", "morphana": "saját[/Adj]=saját+[Nom]=", "readable": "saját[/Adj] + [Nom]", "twolevel": "s:s a:a j:j á:á t:t :[/Adj] :[Nom]"}]	saját	[/Adj][Nom]
szemüknek	""	.	[{"lemma": "szem", "tag": "[/N][Poss.3Pl][Dat]", "morphana": "szem[/N]=szem+ük[Poss.3Pl]=ük+nek[Dat]=nek", "readable": "szem[/N] + ük[Poss.3Pl] + nek[Dat]", "twolevel": "s:s z:z e:e m:m :[/N] ü:ü k:k :[Poss.3Pl] n:n e:e k:k :[Dat]"}]	szem	[/N][Poss.3Pl][Dat]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
megpillantva	" "	.	[{"lemma": "megpillant", "tag": "[/V][_AdvPtcp/Adv]", "morphana": "meg[/Prev]=meg+pillant[/V]=pillant+va[_AdvPtcp/Adv]=va", "readable": "meg[/Prev] + pillant[/V] + va[_AdvPtcp/Adv]", "twolevel": "m:m e:e g:g :[/Prev] p:p i:i l:l l:l a:a n:n t:t :[/V] v:v a:a :[_AdvPtcp/Adv]"}]	megpillant	[/V][_AdvPtcp/Adv]
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
szürkületben	" "	.	[{"lemma": "szürkület", "tag": "[/N][Ine]", "morphana": "szürkület[/N]=szürkület+ben[Ine]=ben", "readable": "szürkület[/N] + ben[Ine]", "twolevel": "s:s z:z ü:ü r:r k:k ü:ü l:l e:e t:t :[/N] b:b e:e n:n :[Ine]"}]	szürkület	[/N][Ine]
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
meztelen	" "	.	[{"lemma": "meztelen", "tag": "[/Adj][Nom]", "morphana": "mez[/N]=mez+telen[_Abe/Adj]=telen+[Nom]=", "readable": "mez[/N] + telen[_Abe/Adj] + [Nom]", "twolevel": "m:m e:e z:z :[/N] t:t e:e l:l e:e n:n :[_Abe/Adj] :[Nom]"}, {"lemma": "meztelen", "tag": "[/Adj][_Manner:0/Adv]", "morphana": "mez[/N]=mez+telen[_Abe/Adj]=telen+[_Manner:0/Adv]=", "readable": "mez[/N] + telen[_Abe/Adj] + [_Manner:0/Adv]", "twolevel": "m:m e:e z:z :[/N] t:t e:e l:l e:e n:n :[_Abe/Adj] :[_Manner:0/Adv]"}, {"lemma": "meztelen", "tag": "[/Adj][Nom]", "morphana": "meztelen[/Adj]=meztelen+[Nom]=", "readable": "meztelen[/Adj] + [Nom]", "twolevel": "m:m e:e z:z t:t e:e l:l e:e n:n :[/Adj] :[Nom]"}, {"lemma": "meztelen", "tag": "[/Adj][_Manner:0/Adv]", "morphana": "meztelen[/Adj]=meztelen+[_Manner:0/Adv]=", "readable": "meztelen[/Adj] + [_Manner:0/Adv]", "twolevel": "m:m e:e z:z t:t e:e l:l e:e n:n :[/Adj] :[_Manner:0/Adv]"}]	meztelen	[/Adj][Nom]
alakokat	""	.	[{"lemma": "alak", "tag": "[/N][Pl][Acc]", "morphana": "alak[/N]=alak+ok[Pl]=ok+at[Acc]=at", "readable": "alak[/N] + ok[Pl] + at[Acc]", "twolevel": "a:a l:l a:a k:k :[/N] o:o k:k :[Pl] a:a t:t :[Acc]"}]	alak	[/N][Pl][Acc]
.	" "	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]

Azt	" "	.	[{"lemma": "az", "tag": "[/Det|Pro][Acc]", "morphana": "az[/Det|Pro]=az+t[Acc]=t", "readable": "az[/Det|Pro] + t[Acc]", "twolevel": "a:a z:z :[/Det|Pro] t:t :[Acc]"}, {"lemma": "az", "tag": "[/N|Pro][Acc]", "morphana": "az[/N|Pro]=az+t[Acc]=t", "readable": "az[/N|Pro] + t[Acc]", "twolevel": "a:a z:z :[/N|Pro] t:t :[Acc]"}]	az	[/Det|Pro][Acc]
képzelték	""	.	[{"lemma": "képzelte", "tag": "[/Adj][Pl][Nom]", "morphana": "képzel[/V]=képzel+te[_PerfPtcp_Subj=tA/Adj]=té+k[Pl]=k+[Nom]=", "readable": "képzel[/V] + te[_PerfPtcp_Subj=tA/Adj]=té + k[Pl] + [Nom]", "twolevel": "k:k é:é p:p z:z e:e l:l :[/V] t:t é:e :[_PerfPtcp_Subj=tA/Adj] k:k :[Pl] :[Nom]"}, {"lemma": "képzel", "tag": "[/V][Pst.Def.3Pl]", "morphana": "képzel[/V]=képzel+ték[Pst.Def.3Pl]=ték", "readable": "képzel[/V] + ték[Pst.Def.3Pl]", "twolevel": "k:k é:é p:p z:z e:e l:l :[/V] t:t é:é k:k :[Pst.Def.3Pl]"}, {"lemma": "képzelt", "tag": "[/Adj][Fam.Pl][Nom]", "morphana": "képzelt[/Adj]=képzelt+ék[Fam.Pl]=ék+[Nom]=", "readable": "képzelt[/Adj] + ék[Fam.Pl] + [Nom]", "twolevel": "k:k é:é p:p z:z e:e l:l t:t :[/Adj] é:é k:k :[Fam.Pl] :[Nom]"}]	képzel	[/V][Pst.Def.3Pl]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
érzékcsalódás	" "	.	[{"lemma": "érzékcsalódás", "tag": "[/N][Nom]", "morphana": "érzék[/N]=érzék+csal[/V]=csal+ódik[_MedPass/V]=ód+ás[_Ger/N]=ás+[Nom]=", "readable": "érzék[/N] + csal[/V] + ódik[_MedPass/V]=ód + ás[_Ger/N] + [Nom]", "twolevel": "é:é r:r z:z é:é k:k :[/N] c:c s:s a:a l:l :[/V] ó:ó d:d :i :k :[_MedPass/V] á:á s:s :[_Ger/N] :[Nom]"}, {"lemma": "érzékcsalódás", "tag": "[/N][Nom]", "morphana": "érzék[/N]=érzék+csalódik[/V]=csalód+ás[_Ger/N]=ás+[Nom]=", "readable": "érzék[/N] + csalódik[/V]=csalód + ás[_Ger/N] + [Nom]", "twolevel": "é:é r:r z:z é:é k:k :[/N] c:c s:s a:a l:l ó:ó d:d :i :k :[/V] á:á s:s :[_Ger/N] :[Nom]"}, {"lemma": "érzékcsalódás", "tag": "[/N][Nom]", "morphana": "érzék[/N]=érzék+csalódás[/N]=csalódás+[Nom]=", "readable": "érzék[/N] + csalódás[/N] + [Nom]", "twolevel": "é:é r:r z:z é:é k:k :[/N] c:c s:s a:a l:l ó:ó d:d á:á s:s :[/N] :[Nom]"}, {"lemma": "érzékcsalódás", "tag": "[/N][Nom]", "morphana": "érzékcsalódás[/N]=érzékcsalódás+[Nom]=", "readable": "érzékcsalódás[/N] + [Nom]", "twolevel": "é:é r:r z:z é:é k:k c:c s:s a:a l:l ó:ó d:d á:á s:s :[/N] :[Nom]"}]	érzékcsalódás	[/N][Nom]
áldozatai	" "	.	[{"lemma": "áldozat", "tag": "[/N][Pl.Poss.3Sg][Nom]", "morphana": "áldozat[/N]=áldozat+ai[Pl.Poss.3Sg]=ai+[Nom]=", "readable": "áldozat[/N] + ai[Pl.Poss.3Sg] + [Nom]", "twolevel": "á:á l:l d:d o:o z:z a:a t:t :[/N] a:a i:i :[Pl.Poss.3Sg] :[Nom]"}]	áldozat	[/N][Pl.Poss.3Sg][Nom]
lettek	""	.	[{"lemma": "lett", "tag": "[/Adj][Pl][Nom]", "morphana": "lesz[/V]=le+tt[_PerfPtcp/Adj]=tt+ek[Pl]=ek+[Nom]=", "readable": "lesz[/V]=le + tt[_PerfPtcp/Adj] + ek[Pl] + [Nom]", "twolevel": "l:l e:e :s :z :[/V] t:t t:t :[_PerfPtcp/Adj] e:e k:k :[Pl] :[Nom]"}, {"lemma": "lesz", "tag": "[/V][Pst.NDef.3Pl]", "morphana": "lesz[/V]=le+ttek[Pst.NDef.3Pl]=ttek", "readable": "lesz[/V]=le + ttek[Pst.NDef.3Pl]", "twolevel": "l:l e:e :s :z :[/V] t:t t:t e:e k:k :[Pst.NDef.3Pl]"}, {"lemma": "lett", "tag": "[/Adj][Pl][Nom]", "morphana": "lett[/Adj|nat]=lett+ek[Pl]=ek+[Nom]=", "readable": "lett[/Adj|nat] + ek[Pl] + [Nom]", "twolevel": "l:l e:e t:t t:t :[/Adj|nat] e:e k:k :[Pl] :[Nom]"}]	lesz	[/V][Pst.NDef.3Pl]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
avagy	" "	.	[{"lemma": "avagy", "tag": "[/Cnj]", "morphana": "avagy[/Cnj]=avagy", "readable": "avagy[/Cnj]", "twolevel": "a:a v:v a:a g:g y:y :[/Cnj]"}]	avagy	[/Cnj]
talán	" "	.	[{"lemma": "talán", "tag": "[/Adv]", "morphana": "talán[/Adv]=talán", "readable": "talán[/Adv]", "twolevel": "t:t a:a l:l á:á n:n :[/Adv]"}]	talán	[/Adv]
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
délibáb	" "	.	[{"lemma": "délibáb", "tag": "[/N][Nom]", "morphana": "délibáb[/N]=délibáb+[Nom]=", "readable": "délibáb[/N] + [Nom]", "twolevel": "d:d é:é l:l i:i b:b á:á b:b :[/N] :[Nom]"}]	délibáb	[/N][Nom]
Egerbe	" "	.	[{"lemma": "Eger", "tag": "[/N][Ill]", "morphana": "Eger[/N]=Eger+be[Ill]=be", "readable": "Eger[/N] + be[Ill]", "twolevel": "E:E g:g e:e r:r :[/N] b:b e:e :[Ill]"}]	Eger	[/N][Ill]
költözött	" "	.	[{"lemma": "költözik", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "költözik[/V]=költöz+ött[Pst.NDef.3Sg]=ött", "readable": "költözik[/V]=költöz + ött[Pst.NDef.3Sg]", "twolevel": "k:k ö:ö l:l t:t ö:ö z:z :i :k :[/V] ö:ö t:t t:t :[Pst.NDef.3Sg]"}, {"lemma": "költözött", "tag": "[/Adj][Nom]", "morphana": "költözik[/V]=költöz+ött[_PerfPtcp/Adj]=ött+[Nom]=", "readable": "költözik[/V]=költöz + ött[_PerfPtcp/Adj] + [Nom]", "twolevel": "k:k ö:ö l:l t:t ö:ö z:z :i :k :[/V] ö:ö t:t t:t :[_PerfPtcp/Adj] :[Nom]"}]	költözik	[/V][Pst.NDef.3Sg]
