form	wsafter	testid
ember	""	.
.	"\n"	.

-	" "	.
Az	" "	.
Écel	" "	.
emberei	" "	.
be	" "	p1
vannak	" "	.
építve	" "	v1
a	" "	.
rendőrségre	""	.
.	"\n"	.

Most	" "	.
jön	" "	v1
csak	" "	.
ki	" "	p1
a	" "	.
szobából	" "	.
Mendezné	""	.
,	" "	.
karján	" "	.
összehajtogatott	" "	.
takaró	""	.
.	"\n"	.

F.	" "	.
sokáig	" "	.
távol	" "	.
tartotta	" "	.
magát	" "	.
a	" "	.
sajtótól	""	.
,	" "	.
mígnem	" "	.
néhány	" "	.
évvel	" "	.
ezelőtt	" "	.
egy	" "	.
népszerű	" "	.
napilap	" "	.
publicisztikai	" "	.
rovatvezetője	" "	.
-	" "	.
egykori	" "	.
kollégánk	" "	.
-	" "	.
felajánlotta	" "	.
neki	" "	.
a	" "	.
helyettesi	" "	.
státust	""	.
,	" "	.
amit	" "	.
F.	" "	.
némi	" "	.
habozás	" "	.
után	" "	.
el	" "	p1
is	" "	.
fogadott	" "	v1
.	"\n"	.

Azt	" "	.
is	" "	.
megbeszélték	""	.
,	" "	.
hogy	" "	.
ő	" "	.
vásárol	" "	v1
majd	" "	.
be	" "	p1
szombaton	""	.
.	"\n"	.

Aztán	" "	.
el	" "	p1
kellett	" "	.
még	" "	.
mondanom	" "	v1
az	" "	.
öregasszonynak	""	.
:	" "	.
-	" "	.
Együtt	" "	.
voltunk	" "	.
-	" "	.
magyarázkodnom	""	.
:	" "	.
-	" "	.
Zeitzban	" "	.
-,	" "	.
s	" "	.
valahogyan	" "	.
szigorú	""	.
,	" "	.
már-már	" "	.
számon	" "	.
kérő	" "	.
kérdésére	""	.
:	" "	.
-	" "	.
És	" "	.
miért	" "	.
nem	" "	.
együtt	" "	.
jöttek	" "	.
haza	""	.
?	" "	.
-	" "	.
mentegetőznöm	" "	.
szinte	""	.
:	" "	.
-	" "	.
Elváltunk	""	.
.	"\n"	.

A	" "	.
ki	" "	p1
nem	" "	.
mondható	" "	v1
,	" "	.
de	" "	.
a	" "	.
társadalomban	" "	.
még	" "	.
élő	" "	.
igazság	" "	.
és	" "	.
jogérzet	""	.
,	" "	.
a	" "	.
cselekvésre	" "	.
sarkalló	" "	.
akarat	""	.
,	" "	.
az	" "	.
éber	" "	.
lelkiismeret	" "	.
jelenik	" "	.
meg	" "	.
velük	" "	.
a	" "	.
színen	""	.
.	"\n"	.

Ide	" "	.
esett	""	.
.	" "	.

Többet	" "	.
nem	" "	.
fogja	" "	.
megmoccantani	" "	.
senki	""	.
.	" "	.

Pedig	" "	.
a	" "	.
többiek	" "	.
már	" "	.
trappolnak	" "	.
is	" "	.
az	" "	.
emeletről	""	.
,	" "	.
hogy	" "	.
újra	" "	.
utánam	" "	p1
dobják	" "	v1
,	" "	.
mert	" "	.
dühük	" "	.
már	" "	.
fáj	""	.
:	" "	.
csak	" "	.
annyit	" "	.
éreznek	""	.
,	" "	.
hogy	" "	.
mekkora	" "	.
feszültség	" "	.
van	" "	.
egy	" "	.
mozdulatlanul	" "	.
álló	" "	.
szörnyű	" "	.
nagy	" "	.
kőtömbben	""	.
.	"\n"	.

Mint	" "	.
egyike	" "	.
azoknak	""	.
,	" "	.
akik	" "	.
mindig	" "	.
az	" "	.
egészben	" "	.
gondolkoztak	""	.
,	" "	.
nem	" "	.
hittek	" "	.
abban	""	.
,	" "	.
hogy	" "	.
valamilyen	" "	.
szempontok	" "	.
szerint	" "	.
le	" "	p1
kellene	" "	.
írni	" "	v1
holmi	" "	.
tételeket	""	.
,	" "	.
amelyeket	" "	.
persze	" "	.
máshol	" "	.
se	" "	.
vennének	" "	.
úgysem	" "	.
könyvelésbe	" "	.
az	" "	.
ötbe	""	.
-	""	.
hatba	""	.
-	""	.
hétbe	" "	.
hasított	" "	.
egynyelvű	" "	.
kultúránkból	""	.
.	"\n"	.

Most	" "	.
a	" "	.
kora	" "	.
őszi	" "	.
csepergésben	""	.
,	" "	.
a	" "	.
fénylő	" "	.
síneken	" "	.
ágyúval	""	.
,	" "	.
horkoló	" "	.
katonákkal	" "	.
úgy	" "	.
kattogtak	" "	.
át	" "	.
itt	" "	.
is	" "	.
a	" "	.
vonatok	""	.
,	" "	.
mint	" "	.
a	" "	.
legparányibb	" "	.
bakterház	" "	.
előtt	""	.
;	" "	.
még	" "	.
nappal	" "	.
sem	" "	.
volt	""	.
,	" "	.
hogy	" "	.
félrehúzott	" "	.
ajtókban	" "	.
láblógatva	" "	.
ücsörgő	" "	.
szürke	" "	.
alakok	""	.
,	" "	.
bár	" "	.
kibetűzzék	" "	.
s	" "	.
egy	" "	.
pillanat	" "	.
múlva	" "	.
el	" "	p1
is	" "	.
felejtsék	" "	v1
,	" "	.
hogy	" "	.
van	" "	.
ilyen	" "	.
állomás	""	.
...	"\n"	.

Csóka	" "	.
talált	" "	.
a	" "	.
patakban	" "	.
egy	" "	.
vaskalapot	""	.
,	" "	.
két	" "	.
helyen	" "	.
át	" "	p1
volt	" "	.
lyuggatva	" "	v1
,	" "	.
és	" "	.
tele	" "	.
volt	" "	.
iszappal	""	.
.	"\n"	.

-...	" "	.
ha	" "	.
meg	" "	.
kellett	" "	.
érteni	""	.
:	" "	.
mi	" "	.
történik	" "	.
hirtelen	" "	.
bennem	""	.
,	" "	.
fel	" "	p1
kellett	" "	.
fogni	" "	v1
,	" "	.
mit	" "	.
érzek	""	.
,	" "	.
nagyon	" "	.
magamra	" "	.
voltam	" "	.
utalva	""	.
.	"\n"	.

Figyeljünk	" "	v1
most	" "	.
oda	" "	p1
egy	""	.
,	" "	.
látszólag	""	.
,	" "	.
formai	" "	.
vonásra	""	.
.	"\n"	.

-	" "	.
Na	""	.
,	" "	.
ülj	" "	.
hamar	" "	.
a	" "	.
hátamra	""	.
,	" "	.
estig	" "	.
vissza	" "	p1
kell	" "	.
érnem	" "	v1
,	" "	.
mert	" "	.
este	" "	.
szolgálatba	" "	.
megyek	""	.
.	"\n"	.

Ha	" "	.
valamit	" "	.
el	" "	p1
kell	" "	.
intézni	" "	v1
valahol	""	.
,	" "	.
én	" "	.
maga	" "	.
helyett	" "	.
mindent	" "	.
elintézek	""	.
.	"\n"	.

Vajon	" "	.
nem	" "	.
törülné	" "	v1
-e	" "	.
el	" "	p1
azt	" "	.
a	" "	.
magabiztos	" "	.
mozdulatát	""	.
,	" "	.
mellyel	" "	.
a	" "	.
XX.	" "	.
századi	" "	.
Csák	" "	.
visszamutat	" "	v2
ma	" "	.
a	" "	.
dunántúli	" "	.
város	" "	.
középkori	" "	.
történetére	""	.
,	" "	.
vissza	" "	p2
a	" "	.
ködszerű	" "	.
múltra	""	.
.	"\n"	.

Szinte	" "	.
bárhol	" "	.
fel	" "	p1
lehet	" "	.
ütni	" "	v1
a	" "	.
Válogatott	" "	.
versek	" "	.
kötetét	""	.
,	" "	.
s	" "	.
bő	" "	.
ízelítő	" "	.
kínálkozik	" "	.
a	" "	.
tízes	" "	.
évek	" "	.
végéről	" "	.
a	" "	.
sebesen	" "	.
változó	""	.
,	" "	.
bizarr	""	.
,	" "	.
elrugaszkodott	""	.
,	" "	.
nehezen	" "	.
vagy	" "	.
alig	" "	.
érthető	" "	.
képzetekből	""	.
.	"\n"	.

Szeretsz	""	.
??	" "	.
kérdeztem	" "	.
a	" "	.
lánytól	" "	.
s	" "	.
vártam	""	.
,	" "	.
hogy	" "	.
mondjon	" "	.
valamit	""	.
,	" "	.
amitől	" "	.
ketté	" "	p1
hasadnak	" "	v1
a	" "	.
falak	""	.
.	"\n"	.

Indulás	" "	v1
haza	" "	p1
!	"\n"	.

-...	" "	.
ha	" "	.
mégis	" "	.
el	" "	p1
tudja	" "	.
felejteni	" "	v1
...	"\n"	.

Az	" "	.
ember	" "	.
csavarog	""	.
.	" "	.

El	" "	p1
se	" "	.
tudja	" "	.
képzelni	" "	v1
,	" "	.
hogy	" "	.
mást	" "	.
is	" "	.
lehet	""	.
.	"\n"	.

-	" "	.
Meg	" "	p1
lehet	" "	.
dögölni	" "	v1
mellette	""	.
!	"\n"	.

Az	" "	.
október	" "	.
26-i	" "	.
ülésükön	" "	.
elhatározva	""	.
,	" "	.
hogy	" "	.
minden	" "	.
nap	" "	.
össze	" "	p1
fognak	" "	.
ülni	" "	v1
,	" "	.
nem	" "	.
kevesebb	""	.
,	" "	.
mint	" "	.
22	" "	.
pontban	" "	.
rögzítették	" "	.
a	" "	.
tennivalókat	""	.
.	"\n"	.

Aki	" "	.
veled	" "	.
le	" "	p1
tudott	" "	.
feküdni	" "	v1
...	"\n"	.

Nagy	" "	.
Imre	""	.
,	" "	.
aki	" "	.
Magad	" "	.
17	" "	.
évig	" "	.
voltál	" "	.
emigráns	""	.
,	" "	.
aki	" "	.
hazatérve	" "	.
ezeket	" "	.
mondottad	""	.
:	" "	.
"	" "	.
Az	" "	.
volt	" "	.
a	" "	.
bűnöm	""	.
,	" "	.
hogy	" "	.
szerveztem	" "	.
a	" "	.
földműves	" "	.
nép	" "	.
harcát	" "	.
a	" "	.
feudális	" "	.
nagybirtokrendszer	" "	.
megszüntetéséért	""	.
,	" "	.
azért	""	.
,	" "	.
hogy	" "	.
azé	" "	.
legyen	" "	.
a	" "	.
föld	""	.
,	" "	.
aki	" "	.
megműveli	""	.
;	" "	.
de	" "	.
ha	" "	.
el	" "	p1
is	" "	.
űztek	" "	v1
innen	" "	.
messze	" "	.
idegenbe	""	.
,	" "	.
nem	" "	.
voltam	" "	.
földönfutó	""	.
,	" "	.
lélekben	""	.
,	" "	.
gondolatban	" "	.
mindig	" "	.
itt	" "	.
voltam	" "	.
köztetek	" "	.
"	""	.
:	" "	.
ma	" "	.
eljöttek	" "	.
sírodhoz	" "	.
a	" "	.
világ	" "	.
négy	" "	.
sarkából	" "	.
a	" "	.
magyar	" "	.
emigránsoknak	" "	.
ezrei	""	.
,	" "	.
akik	" "	.
-	" "	.
akárcsak	" "	.
Te	" "	.
-	" "	.
lélekben	" "	.
sohasem	" "	.
szakadtak	" "	.
el	" "	.
a	" "	.
hazától	""	.
.	"\n"	.

És	" "	.
különösképpen	" "	.
utálja	" "	.
azokat	""	.
,	" "	.
akik	" "	.
ki	" "	p1
merték	" "	.
nyitni	" "	v1
a	" "	.
szájukat	""	.
,	" "	.
fel	" "	p2
merték	" "	.
emelni	" "	v2
a	" "	.
hangjukat	""	.
,	" "	.
amikor	" "	.
ő	" "	.
lapult	""	.
.	"\n"	.

Kuczka	" "	.
és	" "	.
a	" "	.
vele	" "	.
azonos	" "	.
véleményen	" "	.
lévők	" "	.
határozottan	" "	.
állították	""	.
,	" "	.
hogy	" "	.
az	" "	.
egyetlen	" "	.
lehetséges	""	.
,	" "	.
kommunista	" "	.
íróhoz	" "	.
méltó	" "	.
magatartás	""	.
,	" "	.
amely	" "	.
ezentúl	" "	.
a	" "	.
pártot	" "	.
is	" "	.
segíti	""	.
,	" "	.
az	""	.
,	" "	.
hogy	" "	.
nyíltan	" "	.
és	" "	.
tisztán	" "	.
megírják	" "	.
tapasztalataikat	""	.
,	" "	.
feltárják	" "	.
a	" "	.
hibákat	""	.
,	" "	.
nem	" "	.
várva	" "	v1
most	" "	.
már	" "	.
meg	" "	p1
,	" "	.
amíg	" "	.
megint	" "	.
ellentmond	" "	.
költészetüknek	" "	.
a	" "	.
valóság	""	.
,	" "	.
nem	" "	.
is	" "	.
szólva	" "	.
arról	""	.
,	" "	.
amíg	" "	.
megint	" "	.
fejükre	" "	.
koppint	" "	.
a	" "	.
párt	" "	.
is	""	.
,	" "	.
hogy	" "	.
a	" "	.
nehéz	" "	.
időkben	" "	.
lehunyt	" "	.
szemmel	" "	.
járták	" "	.
a	" "	.
világot	""	.
.	"\n"	.

Ezt	" "	.
a	" "	.
kiváló	" "	.
tudóst	" "	.
az	" "	.
írás	" "	.
és	" "	.
a	" "	.
publikálás	" "	.
lehetőségeitől	" "	.
tíz	" "	.
éven	" "	.
át	" "	.
fosztotta	" "	.
meg	" "	.
a	" "	.
rendszer	""	.
,	" "	.
mert	" "	.
bírálni	" "	.
merte	" "	.
-	" "	.
nem	" "	.
sokkal	" "	.
a	" "	.
háború	" "	.
befejezte	" "	.
után	""	.
,	" "	.
a	" "	.
koalíciós	" "	.
időszak	" "	.
kezdetein	" "	.
-	" "	.
a	" "	.
kommunista	" "	.
párt	" "	.
taktikáját	" "	.
és	" "	.
stratégiáját	""	.
,	" "	.
felhívta	" "	.
a	" "	.
figyelmet	" "	.
a	" "	.
diktatúra	" "	.
készülő	" "	.
veszélyeire	" "	.
és	" "	.
nem	" "	.
utolsósorban	" "	.
szembe	" "	p1
mert	" "	.
szállni	" "	v1
-	" "	.
Révai	" "	.
Józseffel	" "	.
a	" "	.
kommunista	" "	.
párt	" "	.
és	" "	.
a	" "	.
demokrácia	" "	.
viszonyát	" "	.
illetően	""	.
.	"\n"	.

Ha	" "	.
mocskosan	" "	.
törpe	" "	.
a	" "	.
történelem	" "	.
-	" "	.
meg	" "	p1
kell	" "	.
építenünk	" "	v1
a	" "	.
magunk	" "	.
történelmét	""	.
.	"\n"	.

Teljes	" "	.
objektivitása	" "	.
ugyanis	" "	.
önmagában	" "	.
van	""	.
,	" "	.
a	" "	.
maga	" "	.
tisztaságában	" "	.
nem	" "	.
bányászható	" "	v1
ki	" "	p1
.	"\n"	.

Szóval	""	.
,	" "	.
most	" "	.
mindent	" "	.
oda	" "	p1
tudnál	" "	.
dobni	" "	v1
,	" "	.
vőlegényt	""	.
,	" "	.
biztonságot	""	.
,	" "	.
mindent	" "	.
-	" "	.
és	" "	.
én	" "	.
semmit	" "	.
sem	" "	.
ígértem	""	.
,	" "	.
semmit	" "	.
se	" "	.
kínáltam	" "	.
ezért	""	.
.	"\n"	.

De	" "	.
nem	" "	.
tudta	" "	.
megállni	""	.
,	" "	.
hogy	" "	.
még	" "	.
egyszer	" "	.
el	" "	p1
ne	" "	.
búcsúzzon	" "	v1
Marianntól	""	.
;	" "	.
most	" "	.
ugyan	" "	.
elég	" "	.
sután	""	.
,	" "	.
szemlesütve	" "	.
csinálta	""	.
.	"\n"	.

A	" "	.
belső	" "	.
udvart	" "	.
a	" "	.
szomszéd	" "	.
üres	" "	.
telek	" "	.
felől	" "	.
is	" "	.
meg	" "	p1
lehet	" "	.
közelíteni	" "	v1
,	" "	.
egy	" "	.
szögesdróttal	" "	.
biztosított	" "	.
vasajtón	""	.
.	"\n"	.

Most	" "	.
először	" "	.
érzek	" "	.
olyasmit	""	.
,	" "	.
hogy	" "	.
egy	" "	.
sejtelem	" "	.
hatására	" "	.
az	" "	.
embernek	" "	.
le	" "	p1
tud	" "	.
esni	" "	v1
hirtelen	" "	.
a	" "	.
hőmérséklete	""	.
.	"\n"	.

Inkább	" "	.
majd	" "	.
a	" "	.
végén	" "	.
részletezi	" "	.
az	" "	.
eredményt	" "	.
-	" "	.
bár	" "	.
meg	" "	p1
volt	" "	.
győződve	" "	v1
róla	""	.
,	" "	.
hogy	" "	.
nem	" "	.
éri	" "	.
meglepetés	""	.
.	"\n"	.

-	" "	.
Itt	" "	.
akarsz	" "	.
megfagyasztani	" "	.
bennünket	""	.
?	" "	.
-	" "	.
vakkant	" "	.
fel	" "	.
valamelyikünk	""	.
,	" "	.
és	" "	.
be	" "	p1
akart	" "	.
nyitni	" "	v1
egy	" "	.
ajtón	""	.
,	" "	.
hogy	" "	.
melegebb	" "	.
helyiség	" "	.
után	" "	.
kutasson	""	.
.	"\n"	.

Éreztem	""	.
,	" "	.
hogy	" "	.
meg	" "	p1
kell	" "	.
kapaszkodnom	" "	v1
valamiben	""	.
.	"\n"	.

-	" "	.
Semmibe	""	.
,	" "	.
csak	" "	.
be	" "	p1
kellene	" "	.
táplálni	" "	v1
.	"\n"	.

-	" "	.
Eleinte	" "	.
még	" "	.
kijárnak	" "	.
a	" "	.
tanyára	" "	.
disznót	" "	.
nevelni	""	.
,	" "	.
reggel-este	" "	.
etetik	" "	.
őket	""	.
,	" "	.
de	" "	.
rá	" "	p1
kell	" "	.
jönniük	" "	v1
,	" "	.
hogy	" "	.
egy	" "	.
disznón	" "	.
nem	" "	.
marad	" "	.
több	" "	.
hasznuk	" "	.
ötszáz-ezer	" "	.
forintnál	""	.
,	" "	.
mert	" "	.
a	" "	.
drága	" "	.
kukoricát	" "	.
már	" "	.
nekik	" "	.
is	" "	.
a	" "	.
boltban	" "	.
kell	" "	.
megvásárolniuk	""	.
.	"\n"	.

Tudtam	" "	.
róla	""	.
,	" "	.
hogy	" "	.
megszállott	" "	.
rendőr	""	.
,	" "	.
ezért	" "	.
is	" "	.
kapta	" "	.
becézésképpen	" "	.
a	" "	.
nagy	" "	.
francia	" "	.
rendőrzseni	" "	.
nevét	""	.
,	" "	.
néha	" "	.
éjjel	" "	.
kettőkor	" "	.
hívta	" "	.
fel	" "	.
a	" "	.
kollégáit	""	.
,	" "	.
hogy	" "	.
mostanáig	" "	.
járt	" "	.
egy	" "	.
körözött	" "	.
betörő	" "	.
nyomában	""	.
,	" "	.
rábukkant	""	.
,	" "	.
itt	" "	.
áll	" "	.
a	" "	.
lakása	" "	.
előtt	""	.
,	" "	.
most	" "	.
le	" "	p1
lehetne	" "	.
tartóztatni	" "	v1
,	" "	.
jöjjenek	" "	.
el	" "	.
segíteni	" "	.
neki	""	.
.	"\n"	.

-	" "	.
Ezt	" "	.
a	" "	.
kísérletet	" "	.
néhány	" "	.
megjelölt	" "	.
úszó	" "	.
fadarabbal	" "	.
is	" "	.
épp	" "	.
ilyen	" "	.
jól	" "	.
el	" "	p1
lehetett	" "	.
volna	" "	.
végezni	" "	v1
-	" "	.
mondja	" "	.
F.	""	.
,	" "	.
a	" "	.
sokat	" "	.
tapasztalt	" "	.
öreg	" "	.
környezetvédő	" "	.
szakember	""	.
.	"\n"	.

Mivel	" "	.
tudtam	""	.
,	" "	.
hogy	" "	.
előbb-utóbb	" "	.
mindenképpen	" "	.
behívnak	" "	.
katonának	""	.
,	" "	.
meg	" "	p1
akartam	" "	.
előzni	" "	v1
,	" "	.
önként	" "	.
jelentkeztem	" "	.
a	" "	.
Légierőhöz	""	.
.	"\n"	.

Arcán	" "	.
elszánt	" "	.
kifejezéssel	" "	.
állt	" "	.
oda	" "	.
a	" "	.
meszelt	" "	.
rajtvonalra	""	.
,	" "	.
tudtuk	""	.
,	" "	.
meg	" "	p1
fog	" "	.
tenni	" "	v1
mindent	""	.
,	" "	.
ami	" "	.
tőle	" "	.
telik	""	.
.	"\n"	.

-	" "	.
És	" "	.
te	" "	.
el	" "	p1
akarsz	" "	.
úszni	" "	v1
Verdalóba	""	.
?	" "	.
-	" "	.
kérdeztem	" "	.
hitetlenül	""	.
.	"\n"	.

Feltűnően	" "	.
öltözködő	""	.
,	" "	.
mozgékony	" "	.
kis	" "	.
barátnője	" "	.
mellett	" "	.
úgy	" "	.
tűnt	""	.
,	" "	.
mint	" "	.
egy	" "	.
nehézkes	" "	.
tengeri	" "	.
hal	""	.
,	" "	.
vezetője	""	.
,	" "	.
a	" "	.
fürge	" "	.
pilótahal	" "	.
mellett	""	.
,	" "	.
és	" "	.
valószínűleg	" "	.
ez	" "	.
is	" "	.
határozta	" "	.
meg	" "	.
kapcsolatuk	" "	.
jellegét	""	.
.	" "	.

El	" "	p1
akart	" "	.
fordulni	" "	v1
,	" "	.
de	" "	.
a	" "	.
lány	" "	.
hirtelen	" "	.
újra	" "	.
ráemelte	" "	.
a	" "	.
szemét	""	.
,	" "	.
János	" "	.
visszanézett	""	.
,	" "	.
és	" "	.
a	" "	.
kitágult	" "	.
szemekből	" "	.
megértette	""	.
,	" "	.
hogy	" "	.
a	" "	.
lány	" "	.
lát	" "	.
rajta	" "	.
valami	" "	.
sebet	" "	.
vagy	" "	.
rendetlenséget	""	.
,	" "	.
amelyre	" "	.
fel	" "	p2
akarja	" "	.
hívni	" "	v2
a	" "	.
figyelmét	""	.
.	"\n"	.

A	" "	.
szakítás	" "	.
mellett	" "	.
szólt	" "	.
az	" "	.
is	""	.
,	" "	.
hogy	" "	.
Altschuler	" "	.
vagy	" "	.
Nagyezsda	" "	.
is	" "	.
tudomást	" "	.
szerezhet	" "	.
a	" "	.
találkozásokról	""	.
,	" "	.
és	" "	.
János	" "	.
egyelőre	" "	.
el	" "	p1
akarta	" "	.
kerülni	" "	v1
a	" "	.
botrányt	""	.
.	"\n"	.

"	" "	.
A	" "	.
büntetés	" "	.
elején	" "	.
nagyobb	" "	.
fokú	" "	.
nélkülözéssel	" "	.
kell	" "	.
felkelteni	" "	.
a	" "	.
tudatot	" "	.
az	" "	.
elítéltben	""	.
,	" "	.
hogy	" "	.
a	" "	.
jogsértés	" "	.
súlyos	" "	.
következményekkel	" "	.
jár	""	.
,	" "	.
és	" "	.
akaratát	" "	.
alá	" "	p1
kell	" "	.
rendelnie	" "	v1
egy	" "	.
felsőbb	" "	.
akaratnak	""	.
.	" "	.

"	"\n"	.
Egészen	" "	.
el	" "	p1
is	" "	.
feledtem	" "	v1
a	" "	.
kedves	" "	.
édesapát	""	.
.	"\n"	.

Olyan	" "	.
embert	""	.
,	" "	.
aki	" "	.
érvényt	" "	.
szerez	" "	.
a	" "	.
törvény	" "	.
szavának	""	.
;	" "	.
s	" "	.
aki	" "	.
azon	" "	.
nyomban	" "	.
le	" "	p1
is	" "	.
köszönt	" "	v1
a	" "	.
tisztéről	""	.
,	" "	.
mihelyst	" "	.
megszűnt	" "	.
a	" "	.
szükségállapot	" "	.
vagy	" "	.
megoldódott	" "	.
a	" "	.
viszály	""	.
.	"\n"	.

Ott	" "	.
az	" "	.
ajtó	""	.
,	" "	.
a	" "	.
hallba	" "	.
nyílik	""	.
,	" "	.
ki	" "	p1
kell	" "	.
nyitni	" "	v1
.	"\n"	.

De	" "	.
hiszen	" "	.
ez	" "	.
meg	" "	p1
van	" "	.
repedve	" "	v1
,	" "	.
folyik	" "	.
a	" "	.
petróleum	""	.
.	"\n"	.

Nem	" "	.
akarom	""	.
,	" "	.
hogy	" "	.
azt	" "	.
higgye	""	.
,	" "	.
valami	" "	.
tolvaj	" "	.
szomszédságába	" "	.
került	" "	.
-	" "	.
tette	" "	v1
még	" "	.
hozzá	" "	p1
az	" "	.
ujját	" "	.
fölemelve	""	.
.	"\n"	.

Tizenkét	" "	.
évig	" "	.
rá	" "	p1
sem	" "	.
néztem	" "	v1
más	" "	.
nőnemű	" "	.
lényre	""	.
.	"\n"	.

De	" "	.
ezen	" "	.
a	" "	.
csúcson	" "	.
-	" "	.
s	" "	.
ezt	" "	.
már	" "	.
a	" "	.
regény	" "	.
bizonyítja	" "	.
-	" "	.
elkezdtem	" "	.
gyanakodni	" "	.
erre	" "	.
az	" "	.
épségre	""	.
,	" "	.
a	" "	.
normára	""	.
:	" "	.
nem	" "	.
csapott	" "	v1
-e	" "	.
be	" "	p1
,	" "	.
nem	" "	.
zárta	" "	.
-e	" "	.
fölpattinthatatlan	" "	.
tokba	" "	.
azt	""	.
,	" "	.
ami	" "	.
több	""	.
,	" "	.
nemesebb	" "	.
volt	" "	.
bennem	""	.
:	" "	.
"	" "	.
az	" "	.
abnormalitásom	" "	.
"	""	.
.	"\n"	.

-	" "	.
Azért	" "	.
el	" "	p1
ne	" "	.
rídd	" "	v1
magad	""	.
,	" "	.
szólt	" "	.
az	" "	.
apa	""	.
,	" "	.
aki	" "	.
nem	" "	.
állhatta	" "	.
meg	""	.
,	" "	.
hogy	" "	.
el	" "	p2
ne	" "	.
kacagja	" "	v2
magát	""	.
,	" "	.
oly	" "	.
komikus	" "	.
volt	" "	.
az	" "	.
előrecsuklott	" "	.
térdű	""	.
,	" "	.
reszkető	" "	.
figura	""	.
.	"\n"	.

Ott	" "	.
élek	" "	.
mellette	""	.
,	" "	.
s	" "	.
nem	" "	.
tudom	" "	.
elhinni	" "	.
-	" "	.
holott	" "	.
nagyon	" "	.
is	" "	.
el	" "	p1
tudta	" "	.
hinni	" "	v1
,	" "	.
meg	" "	.
volt	" "	.
győződve	""	.
,	" "	.
csak	" "	.
nagy	" "	.
néha	" "	.
nyilallt	" "	.
bele	" "	.
az	" "	.
esztelen	" "	.
gyanú	""	.
,	" "	.
hogy	" "	.
tán	" "	.
mégsem	" "	.
igaz	" "	.
-	" "	.
mint	" "	.
éjjeli	" "	.
felriadáskor	""	.
,	" "	.
hogy	" "	.
halottunk	" "	.
nem	" "	.
halt	" "	.
meg	""	.
.	"\n"	.

Nem	" "	.
jutott	" "	.
eszembe	""	.
,	" "	.
hogy	" "	.
a	" "	.
mennyei	" "	.
dicsőség	" "	.
révült	" "	.
állapotát	" "	.
sajnálatos	" "	.
módon	" "	.
meg	" "	p1
kell	" "	.
előznie	" "	v1
annak	""	.
,	" "	.
hogy	" "	.
meg	" "	p2
kell	" "	.
halnunk	" "	v2
hozzá	""	.
.	"\n"	.

Ebben	" "	.
a	" "	.
sűrű	" "	.
füstben	" "	.
el	" "	p1
se	" "	.
látunk	" "	v1
odáig	""	.
.	"\n"	.

Akárhogy	" "	.
is	" "	.
van	""	.
,	" "	.
hősöm	" "	.
ő	" "	.
nekem	""	.
,	" "	.
hajtogattam	""	.
,	" "	.
hogy	" "	.
legalább	" "	.
fikcióvá	" "	.
hazudjam	" "	.
ezt	" "	.
a	" "	.
szörnyűséget	""	.
,	" "	.
de	" "	.
meg	" "	p1
nem	" "	.
nyugodtam	" "	v1
.	"\n"	.

Egyszerű	" "	.
vágásokkal	""	.
,	" "	.
nagyításokkal	""	.
,	" "	.
egybefényképezésekkel	""	.
:	" "	.
az	" "	.
Ezeregyéjszaka	" "	.
minden	" "	.
csodáját	" "	.
fel	" "	p1
tudja	" "	.
eleveníteni	" "	v1
a	" "	.
néző	" "	.
szeme	" "	.
előtt	""	.
:	" "	.
tengeri	" "	.
ütközetet	" "	.
egy	" "	.
lavór	" "	.
vízben	""	.
,	" "	.
a	" "	.
vízözön	""	.
,	" "	.
a	" "	.
Mars-utazás	""	.
,	" "	.
Karthágó	" "	.
pusztulásának	" "	.
képét	" "	.
-	" "	.
makettből	""	.
.	"\n"	.

A	" "	.
gyógynövény	" "	.
párlat	" "	.
egyik	" "	.
alkotó	" "	.
elemét	" "	.
ma	" "	.
is	" "	.
csak	" "	.
én	" "	.
tudom	""	.
,	" "	.
a	" "	.
porcelán	" "	.
régi	" "	.
fénye	" "	.
az	" "	.
ismert	" "	.
hőfokon	" "	.
is	" "	.
csak	" "	.
egy	" "	.
bizonyos	" "	.
összetételű	" "	.
mázzal	" "	.
érhető	" "	v1
el	" "	p1
:	" "	.
ennek	" "	.
a	" "	.
titkát	" "	.
sem	" "	.
fedtem	" "	.
föl	""	.
.	"\n"	.

-	" "	.
Semmit	""	.
!	" "	.

Szét	" "	p0
vannak	" "	.
azok	" "	.
már	" "	.
a	" "	.
világban	""	.
,	" "	.
egyik	" "	.
itt	""	.
,	" "	.
a	" "	.
másik	" "	.
ott	""	.
,	" "	.
nem	" "	.
törődnek	" "	.
véle	""	.
.	"\n"	.

Ettől	" "	.
sem	" "	.
tanultam	" "	.
meg	" "	.
"	" "	.
főzni	" "	.
"	""	.
,	" "	.
de	" "	.
megtanultam	" "	.
elkészíteni	" "	.
néhány	" "	.
ételt	""	.
,	" "	.
főként	" "	.
különböző	" "	.
salátákat	""	.
,	" "	.
s	" "	.
egy-két	" "	.
komolyabb	" "	.
fogást	" "	.
is	""	.
,	" "	.
amiből	" "	.
olykor	""	.
,	" "	.
nagyritkán	" "	.
össze	" "	p1
tud	" "	.
állni	" "	v1
egy-egy	" "	.
vacsora	""	.
,	" "	.
és	" "	.
amelynek	" "	.
elkészítése	" "	.
